,UniProtID,Symbol,FullName,GOIDs,Tissues
1318,P81408,FAM189B,Protein FAM189B,"['GO:0016021', 'GO:0050699']","['Hippocampus', 'Brain', 'Lymph', 'Pancreas', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1319,P82094,TMF1,TATA element modulatory factor,"['GO:0005829', 'GO:0005783', 'GO:0005794', 'GO:0000139', 'GO:0005634', 'GO:0003677', 'GO:0003712', 'GO:0001675', 'GO:0071407', 'GO:0042742', 'GO:0030317', 'GO:0033327', 'GO:0032275', 'GO:0043066', 'GO:0010629', 'GO:0001819', 'GO:2000845', 'GO:0061136', 'GO:0006355', 'GO:0007289', 'GO:0006366']","['Cervix carcinoma', 'Brain', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1320,P82673,MRPS35,"28S ribosomal protein S35, mitochondrial","['GO:0005743', 'GO:0005763', 'GO:0003723', 'GO:0003735', 'GO:0042769', 'GO:0070125', 'GO:0070126']","['Hematopoietic stem cell', 'Teratocarcinoma', 'Embryo', 'Colon', 'Lung', 'Pancreas', 'Melanoma', 'Dendritic cell']"
1321,P82921,MRPS21,"28S ribosomal protein S21, mitochondrial","['GO:0005743', 'GO:0005763', 'GO:0003723', 'GO:0003735', 'GO:0032543', 'GO:0070125', 'GO:0070126', 'GO:0006412']","['Hematopoietic stem cell', 'Cerebellum', 'Lung', 'Uterus']"
1322,P83369,LSM11,U7 snRNA-associated Sm-like protein LSm11,"['GO:0071204', 'GO:0016604', 'GO:0005654', 'GO:0005634', 'GO:0005697', 'GO:0005683', 'GO:0071209', 'GO:0008334', 'GO:0006398', 'GO:1900087', 'GO:0006369']","['Brain', 'Ovary', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
1323,P83916,CBX1,Chromobox protein homolog 1,"['GO:0000785', 'GO:0000775', 'GO:0000784', 'GO:0005720', 'GO:0005654', 'GO:0005634', 'GO:0090734', 'GO:0005819', 'GO:0003682', 'GO:0019899', 'GO:1990226', 'GO:0006974']","['Liver tumor', 'Brain', 'Ovary', 'Brain', 'Cajal-Retzius cell', 'Fetal brain cortex', 'Liver', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1324,P84022,SMAD3,Mothers against decapentaplegic homolog 3,"['GO:0005737', 'GO:0005829', 'GO:0071144', 'GO:0000790', 'GO:0005637', 'GO:0005654', 'GO:0005634', 'GO:0005886', 'GO:0043235', 'GO:0071141', 'GO:0005667', 'GO:0008013', 'GO:0043425', 'GO:0031490', 'GO:0070410', 'GO:0005518', 'GO:0017151', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0035326', 'GO:0035259', 'GO:0042802', 'GO:0031962', 'GO:0019902', 'GO:0070878', 'GO:0046982', 'GO:0042803', 'GO:0019901', 'GO:0000987', 'GO:0070412', 'GO:0001102', 'GO:0000978', 'GO:0043565', 'GO:0003712', 'GO:0008134', 'GO:0044212', 'GO:0005160', 'GO:0030618', 'GO:0043130', 'GO:0031625', 'GO:0008270', 'GO:0006919', 'GO:0097296', 'GO:0032924', 'GO:0030325', 'GO:0007050', 'GO:0045216', 'GO:0071345', 'GO:0071560', 'GO:0048589', 'GO:0048701', 'GO:0048617', 'GO:0009880', 'GO:0007492', 'GO:0019049', 'GO:0097191', 'GO:0001947', 'GO:0006955', 'GO:0002520', 'GO:0001701', 'GO:0070306', 'GO:0001889', 'GO:0001707', 'GO:0043066', 'GO:1903243', 'GO:0030308', 'GO:0051481', 'GO:0045599', 'GO:0050728', 'GO:0061767', 'GO:0045930', 'GO:0045668', 'GO:0033689', 'GO:0042177', 'GO:0000122', 'GO:0030512', 'GO:0061045', 'GO:0038092', 'GO:0002076', 'GO:0048340', 'GO:0060039', 'GO:0010694', 'GO:0030501', 'GO:0090263', 'GO:0030335', 'GO:0032332', 'GO:0051091', 'GO:0010718', 'GO:1901203', 'GO:0051894', 'GO:0010628', 'GO:0032731', 'GO:0045429', 'GO:0050927', 'GO:1902895', 'GO:0042307', 'GO:0051496', 'GO:0045944', 'GO:0045893', 'GO:0032916', 'GO:0031053', 'GO:0016579', 'GO:0050821', 'GO:0051098', 'GO:0050678', 'GO:0050776', 'GO:0016202', 'GO:0006357', 'GO:0017015', 'GO:0032909', 'GO:0001666', 'GO:0023019', 'GO:0007183', 'GO:0060395', 'GO:0001756', 'GO:0042110', 'GO:0030878', 'GO:0060290', 'GO:0007179', 'GO:0001657', 'GO:0042060']","['Placenta', 'Colon carcinoma', 'Brain', 'Pancreas', 'Cervix carcinoma', 'Erythroleukemia']"
1325,P84077,ARF1,ADP-ribosylation factor 1,"['GO:0031252', 'GO:0030137', 'GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0005925', 'GO:0098978', 'GO:0005794', 'GO:0000139', 'GO:0005770', 'GO:0043005', 'GO:0048471', 'GO:0005778', 'GO:0005886', 'GO:0014069', 'GO:0045211', 'GO:0032991', 'GO:0030017', 'GO:0005802', 'GO:0019003', 'GO:0005525', 'GO:0003924', 'GO:0000287', 'GO:1990583', 'GO:0019904', 'GO:0046982', 'GO:0003723', 'GO:0007015', 'GO:0019886', 'GO:0006878', 'GO:0098586', 'GO:0097061', 'GO:0006893', 'GO:0055108', 'GO:0035722', 'GO:0006886', 'GO:0060292', 'GO:0097212', 'GO:1990386', 'GO:0006661', 'GO:0045956', 'GO:0060999', 'GO:0045807', 'GO:1902953', 'GO:1902824', 'GO:0050714', 'GO:1902307', 'GO:0098974', 'GO:0034315', 'GO:0050690', 'GO:1903725', 'GO:0002090', 'GO:0070142', 'GO:0034379', 'GO:0016192']","['Brain', 'Brain', 'Cervix', 'Eye', 'Kidney', 'Fetal brain cortex', 'Liver']"
1326,P84103,SRSF3,Serine/arginine-rich splicing factor 3,"['GO:0005737', 'GO:0016607', 'GO:0005654', 'GO:0003723', 'GO:1990825', 'GO:0031124', 'GO:0045292', 'GO:0006406', 'GO:0000398', 'GO:0000381', 'GO:0048024', 'GO:0006405']","['Trachea', 'Brain', 'Placenta', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
1327,P84243,H3F3A,Histone H3.3,"['GO:0070062', 'GO:0005576', 'GO:0000228', 'GO:0000784', 'GO:0000788', 'GO:0005654', 'GO:0000786', 'GO:0005634', 'GO:0032991', 'GO:0031492', 'GO:0046982', 'GO:0000979', 'GO:0000980', 'GO:0007596', 'GO:0044267', 'GO:0000183', 'GO:0006336', 'GO:0045814', 'GO:0006334', 'GO:0030307', 'GO:0060964', 'GO:0045652', 'GO:0032200']","['Fibroblast', 'Testis', 'Retina', 'Bone marrow', 'Brain', 'Colon', 'Eye', 'Lung', 'Muscle', 'Spinal cord', 'Testis', 'Uterus', 'Leukemic T-cell', 'Liver', 'Colon carcinoma']"
1328,P85037,FOXK1,Forkhead box protein K1,"['GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0000981', 'GO:0000977', 'GO:0000976', 'GO:0030154', 'GO:0007517', 'GO:0045892', 'GO:0045893', 'GO:0016579']","['Testis', 'Brain', 'Placenta', 'Lung', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver', 'Colon carcinoma']"
1329,P88939,NA,ORF K8,[],[]
1330,P98170,XIAP,E3 ubiquitin-protein ligase XIAP,"['GO:0005737', 'GO:0005829', 'GO:0005654', 'GO:0005634', 'GO:0043027', 'GO:0042802', 'GO:0046872', 'GO:0061630', 'GO:0004842', 'GO:0006974', 'GO:0055070', 'GO:1990001', 'GO:0043066', 'GO:0043154', 'GO:0090263', 'GO:1902530', 'GO:0031398', 'GO:0030510', 'GO:0042127', 'GO:0050727', 'GO:0045088', 'GO:0070424', 'GO:0016055']","['Fetal heart', 'Fetal brain', 'Uterus', 'Cervix carcinoma']"
1331,P98182,ZNF200,Zinc finger protein 200,"['GO:0005634', 'GO:0000981', 'GO:0046872', 'GO:0003676']","['Liver', 'Eye', 'Liver', 'Skin']"
1332,P98194,ATP2C1,Calcium-transporting ATPase type 2C member 1,"['GO:0005794', 'GO:0000139', 'GO:0016021', 'GO:0016020', 'GO:0005802', 'GO:0005524', 'GO:0005509', 'GO:0005388', 'GO:0030145', 'GO:0015410', 'GO:0046872', 'GO:0008553', 'GO:0031532', 'GO:0099132', 'GO:0070588', 'GO:0006816', 'GO:0016339', 'GO:0006874', 'GO:0030026', 'GO:0008544', 'GO:0032468', 'GO:0032472', 'GO:0006828', 'GO:0043123']","['Keratinocyte', 'Keratinocyte', 'Brain', 'Mammary gland', 'Neuron', 'Thalamus', 'Blood', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
1333,P98196,ATP11A,Probable phospholipid-transporting ATPase IH,"['GO:0005769', 'GO:0005783', 'GO:0016021', 'GO:0043231', 'GO:0005765', 'GO:0016020', 'GO:0005886', 'GO:0055037', 'GO:0035579', 'GO:0070821', 'GO:0005802', 'GO:0005524', 'GO:0000287', 'GO:0004012', 'GO:0043312', 'GO:0045332']","['Brain', 'Cervix carcinoma']"
1334,Q00059,TFAM,"Transcription factor A, mitochondrial","['GO:0005829', 'GO:0005759', 'GO:0042645', 'GO:0005739', 'GO:0005634', 'GO:0032991', 'GO:0003682', 'GO:0008301', 'GO:0003700', 'GO:0031072', 'GO:0001018', 'GO:0003723', 'GO:0043565', 'GO:0001223', 'GO:0033108', 'GO:0006390', 'GO:0007005', 'GO:0045893', 'GO:0006391']","['Hepatoma', 'Tongue', 'Lymphocyte', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
1335,Q00341,HDLBP,Vigilin,"['GO:0005829', 'GO:0034364', 'GO:0005634', 'GO:0005886', 'GO:0045296', 'GO:0008289', 'GO:0003723', 'GO:0008203', 'GO:0034384', 'GO:0006869']","['Placenta', 'Muscle', 'Mammary carcinoma', 'Osteosarcoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1336,Q00403,GTF2B,Transcription initiation factor IIB,"['GO:0005694', 'GO:0016604', 'GO:0005654', 'GO:0005634', 'GO:0032993', 'GO:0090575', 'GO:0005669', 'GO:0097550', 'GO:0016407', 'GO:0001047', 'GO:0004402', 'GO:1990841', 'GO:0000993', 'GO:0001139', 'GO:0000979', 'GO:0016251', 'GO:0017025', 'GO:0046966', 'GO:0008134', 'GO:0008270', 'GO:0006352', 'GO:0043923', 'GO:1904798', 'GO:0060261', 'GO:0050434', 'GO:0006473', 'GO:1990114', 'GO:0051123', 'GO:0042795', 'GO:0006366', 'GO:0006367', 'GO:0001174', 'GO:0016032']","['Brain', 'Prostate', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Erythroleukemia']"
1337,Q00534,CDK6,Cyclin-dependent kinase 6,"['GO:0005813', 'GO:0097132', 'GO:0000307', 'GO:0005737', 'GO:0005829', 'GO:0005654', 'GO:0005634', 'GO:0001726', 'GO:0005524', 'GO:0030332', 'GO:0004693', 'GO:0098770', 'GO:0014002', 'GO:0007050', 'GO:0043697', 'GO:0051301', 'GO:0021542', 'GO:0000082', 'GO:0048699', 'GO:0042063', 'GO:0060218', 'GO:0021670', 'GO:0045786', 'GO:0045596', 'GO:0008285', 'GO:2000773', 'GO:0050680', 'GO:0045656', 'GO:0045638', 'GO:0045668', 'GO:0000122', 'GO:0007219', 'GO:0001954', 'GO:0048146', 'GO:0010628', 'GO:0006468', 'GO:2000145', 'GO:0045646', 'GO:0010468', 'GO:1902036', 'GO:0009615', 'GO:0033077', 'GO:0003323']","['Tongue', 'Brain', 'Leukemic T-cell']"
1338,Q00537,CDK17,Cyclin-dependent kinase 17,"['GO:0005737', 'GO:0005634', 'GO:0005524', 'GO:0004693', 'GO:0004672', 'GO:0004674', 'GO:0006468']","['Fetal brain', 'Trachea', 'Testis', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Erythroleukemia']"
1339,Q00577,PURA,Transcriptional activator protein Pur-alpha,"['GO:0032839', 'GO:0005662', 'GO:0098978', 'GO:0043025', 'GO:0000784', 'GO:0005634', 'GO:0098794', 'GO:0000981', 'GO:0001227', 'GO:0003690', 'GO:0003691', 'GO:0032422', 'GO:0003723', 'GO:0000977', 'GO:0043565', 'GO:0003697', 'GO:0046332', 'GO:0008134', 'GO:0000900', 'GO:0030154', 'GO:0098963', 'GO:0006270', 'GO:0006268', 'GO:0050673', 'GO:0046651', 'GO:0007399', 'GO:0008284']","['Fetal liver', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1340,Q00610,CLTC,Clathrin heavy chain 1,"['GO:0030118', 'GO:0030132', 'GO:0030130', 'GO:0071439', 'GO:0045334', 'GO:0030669', 'GO:0030136', 'GO:0005829', 'GO:0036020', 'GO:0005768', 'GO:0070062', 'GO:1903561', 'GO:0005925', 'GO:0043231', 'GO:0005764', 'GO:0042470', 'GO:0016020', 'GO:0072686', 'GO:1990498', 'GO:0005886', 'GO:0032991', 'GO:0005819', 'GO:0032588', 'GO:0032051', 'GO:0097718', 'GO:0003725', 'GO:0050750', 'GO:0019901', 'GO:0003723', 'GO:0005198', 'GO:1990381', 'GO:0150093', 'GO:0019886', 'GO:0006914', 'GO:0051301', 'GO:0048268', 'GO:0072583', 'GO:0006886', 'GO:0034383', 'GO:0032802', 'GO:0061024', 'GO:0000278', 'GO:1900126', 'GO:1903077', 'GO:0001649', 'GO:0031623', 'GO:0006898', 'GO:0060236', 'GO:0042147', 'GO:0033572', 'GO:0060071']","['Bone marrow', 'Fetal kidney', 'PNS', 'Testis', 'Colon', 'Platelet', 'Cervix carcinoma', 'Hepatoma', 'Mammary carcinoma', 'Lymphoblast', 'Melanoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1341,Q00765,REEP5,Receptor expression-enhancing protein 5,"['GO:0071782', 'GO:0016021']","['Brain', 'Eye', 'Skin', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1342,Q00978,IRF9,Interferon regulatory factor 9,"['GO:0005737', 'GO:0005829', 'GO:0005654', 'GO:0005634', 'GO:0003700', 'GO:0000981', 'GO:0000978', 'GO:0007166', 'GO:0051607', 'GO:0060333', 'GO:0006366', 'GO:0060337']",['Ovary']
1343,Q00987,MDM2,E3 ubiquitin-protein ligase Mdm2,"['GO:0005737', 'GO:0005829', 'GO:0030666', 'GO:0005730', 'GO:0005654', 'GO:0005634', 'GO:0005886', 'GO:0032991', 'GO:0045202', 'GO:0008097', 'GO:0097718', 'GO:0019899', 'GO:0042802', 'GO:0016874', 'GO:0061663', 'GO:0002039', 'GO:0042975', 'GO:0019904', 'GO:0047485', 'GO:0033612', 'GO:0043021', 'GO:0097110', 'GO:0019789', 'GO:0043130', 'GO:0061630', 'GO:0031625', 'GO:0004842', 'GO:0008270', 'GO:1990000', 'GO:0003283', 'GO:0003181', 'GO:0001568', 'GO:0001974', 'GO:0060411', 'GO:0072717', 'GO:0071312', 'GO:0071391', 'GO:0071480', 'GO:0071363', 'GO:0070301', 'GO:0071456', 'GO:0071375', 'GO:0071494', 'GO:0071301', 'GO:0006977', 'GO:0003203', 'GO:0045184', 'GO:0071157', 'GO:0043154', 'GO:0043518', 'GO:1902254', 'GO:0010977', 'GO:0010955', 'GO:1901797', 'GO:0000122', 'GO:0045892', 'GO:0018205', 'GO:0008284', 'GO:0010628', 'GO:0045931', 'GO:0032436', 'GO:0046827', 'GO:1904754', 'GO:1904707', 'GO:0051865', 'GO:0031648', 'GO:0016579', 'GO:0034504', 'GO:0016567', 'GO:0065003', 'GO:0051603', 'GO:0002027', 'GO:0042176', 'GO:1901796', 'GO:0046677', 'GO:0042220', 'GO:0045472', 'GO:1904404', 'GO:0010039', 'GO:0032026', 'GO:0043278', 'GO:0048545', 'GO:1990785', 'GO:0036369', 'GO:0007089', 'GO:0006511', 'GO:0003281', 'GO:0016032']","['Colon', 'Ovarian carcinoma', 'Tongue', 'Rhabdomyosarcoma', 'Leukemic T-cell', 'Erythroleukemia']"
1344,Q01082,SPTBN1,"Spectrin beta chain, non-erythrocytic 1","['GO:0030673', 'GO:0032437', 'GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0098978', 'GO:0031430', 'GO:0005730', 'GO:0014069', 'GO:0032991', 'GO:0008091', 'GO:0014731', 'GO:0003779', 'GO:0030506', 'GO:0045296', 'GO:0005516', 'GO:0051020', 'GO:0005543', 'GO:0044877', 'GO:0005088', 'GO:0003723', 'GO:0005200', 'GO:0051693', 'GO:0007411', 'GO:0007182', 'GO:0006888', 'GO:0043001', 'GO:0000165', 'GO:0071709', 'GO:0000281', 'GO:0007009', 'GO:1900042', 'GO:1903078', 'GO:0072659', 'GO:1903076', 'GO:0060390']","['Brain', 'Brain', 'Skeletal muscle', 'Cervix carcinoma', 'Cervix carcinoma', 'Platelet', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1345,Q01085,TIAL1,Nucleolysin TIAR,"['GO:0005737', 'GO:0010494', 'GO:0005764', 'GO:0005654', 'GO:0005634', 'GO:0017091', 'GO:0003677', 'GO:0003723', 'GO:0006915', 'GO:0006952', 'GO:0008543', 'GO:0007281', 'GO:0008284', 'GO:0006357', 'GO:0017145']","['Lung', 'Cervix carcinoma', 'Cervix carcinoma']"
1346,Q01105,SET,Protein SET,"['GO:0005737', 'GO:0005829', 'GO:0005783', 'GO:0005811', 'GO:0005654', 'GO:0005634', 'GO:0048471', 'GO:0032991', 'GO:0003677', 'GO:0042393', 'GO:0004864', 'GO:0019888', 'GO:0006260', 'GO:0035067', 'GO:0043524', 'GO:0045892', 'GO:0006334', 'GO:0006337', 'GO:0043488', 'GO:0016032']","['Cervix carcinoma', 'Kidney', 'Brain', 'Brain', 'Testis', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1347,Q01167,FOXK2,Forkhead box protein K2,"['GO:0005654', 'GO:0005634', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0000287', 'GO:0000978', 'GO:0043565', 'GO:0000976', 'GO:0045944', 'GO:0016579', 'GO:0006357', 'GO:0006355']","['Cervix carcinoma', 'Cervix carcinoma', 'Lymphoid tissue', 'Embryonic kidney', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver', 'Colon carcinoma']"
1348,Q01196,RUNX1,Runt-related transcription factor 1,"['GO:0016513', 'GO:0005829', 'GO:0043231', 'GO:0005654', 'GO:0005634', 'GO:0005524', 'GO:0005509', 'GO:0003677', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0046982', 'GO:0042803', 'GO:0000978', 'GO:0000977', 'GO:0008134', 'GO:0044212', 'GO:0071425', 'GO:0030097', 'GO:0030099', 'GO:0043371', 'GO:0010629', 'GO:0030853', 'GO:0000122', 'GO:0030182', 'GO:0048935', 'GO:0045766', 'GO:0043378', 'GO:0030854', 'GO:0032743', 'GO:0045944', 'GO:0045893', 'GO:0050855', 'GO:2000810', 'GO:0001959', 'GO:1902036', 'GO:0033146', 'GO:0045616', 'GO:0045652', 'GO:0045637', 'GO:0045589', 'GO:0030111']","['Leukocyte', 'Monocyte', 'B-cell', 'Monocyte', 'Cervix carcinoma', 'Leukemic T-cell', 'Erythroleukemia', 'Liver', 'Peripheral blood']"
1349,Q01415,GALK2,N-acetylgalactosamine kinase,"['GO:0005737', 'GO:0005829', 'GO:0005524', 'GO:0004335', 'GO:0005534', 'GO:0033858', 'GO:0005975', 'GO:0033499']",['Placenta']
1350,Q01543,FLI1,Friend leukemia integration 1 transcription factor,"['GO:0005829', 'GO:0016604', 'GO:0005634', 'GO:0003682', 'GO:0003677', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0000980', 'GO:0000978', 'GO:0009887', 'GO:0008015', 'GO:0030154', 'GO:0007599', 'GO:0035855', 'GO:0045893', 'GO:0006357']","['Bone marrow', 'Blood', 'Amygdala', 'Placenta', 'Thymus', 'Lymph', 'Placenta', 'Leukemic T-cell']"
1351,Q01581,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic","['GO:0005737', 'GO:0005829', 'GO:0008144', 'GO:0004421', 'GO:0016853', 'GO:0043177', 'GO:0042803', 'GO:0006084', 'GO:0007420', 'GO:0071397', 'GO:0071372', 'GO:0071404', 'GO:0006695', 'GO:0010142', 'GO:0006629', 'GO:0001889', 'GO:0008584', 'GO:0045540', 'GO:0019216', 'GO:0042493', 'GO:0009645', 'GO:0014074', 'GO:0046690', 'GO:0033197']","['Fibroblast', 'Fetal adrenal gland', 'Placenta', 'Lung', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1352,Q01650,SLC7A5,Large neutral amino acids transporter small subunit 1,"['GO:0016324', 'GO:0005829', 'GO:0070062', 'GO:0016021', 'GO:0043231', 'GO:0016020', 'GO:0005886', 'GO:0015171', 'GO:0015179', 'GO:0015175', 'GO:0042605', 'GO:0030154', 'GO:0006520', 'GO:0050900', 'GO:0007399', 'GO:0015804']","['Placenta', 'Ovary', 'Liver', 'Lymph', 'Peripheral blood lymphocyte', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
1353,Q01664,TFAP4,Transcription factor AP-4,"['GO:0005739', 'GO:0005634', 'GO:0017053', 'GO:0003677', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0070888', 'GO:0042826', 'GO:0042803', 'GO:0043565', 'GO:0044212', 'GO:0071549', 'GO:0006978', 'GO:0043922', 'GO:0071157', 'GO:0008285', 'GO:0045736', 'GO:0043392', 'GO:0045892', 'GO:0043923', 'GO:0043065', 'GO:2001269', 'GO:0045893', 'GO:0065003', 'GO:1901990', 'GO:0006357']","['Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
1354,Q01804,OTUD4,OTU domain-containing protein 4,"['GO:0005737', 'GO:0005634', 'GO:0061578', 'GO:0032947', 'GO:0003723', 'GO:0004843', 'GO:0045087', 'GO:2000660', 'GO:0034122', 'GO:1901537', 'GO:0016579', 'GO:0071108', 'GO:0070536', 'GO:1903093']","['Testis', 'Tongue', 'Brain', 'Colon carcinoma', 'Mammary carcinoma', 'Brain', 'Testis', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1355,Q01850,CDR2,Cerebellar degeneration-related protein 2,['GO:0005737'],"['Testis', 'Eye', 'Cerebellum', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
1356,Q01968,OCRL,Inositol polyphosphate 5-phosphatase OCRL-1,"['GO:0005905', 'GO:0030136', 'GO:0005737', 'GO:0005829', 'GO:0005769', 'GO:0031901', 'GO:0005795', 'GO:0005798', 'GO:0016020', 'GO:0005634', 'GO:0030670', 'GO:0001750', 'GO:0005886', 'GO:0005802', 'GO:0005096', 'GO:0052745', 'GO:0052659', 'GO:0052658', 'GO:0034596', 'GO:0043813', 'GO:0004439', 'GO:0048365', 'GO:0060271', 'GO:0001701', 'GO:0046855', 'GO:0043647', 'GO:0006629', 'GO:0061024', 'GO:0006661', 'GO:0046856', 'GO:0043087', 'GO:0051056', 'GO:0007165']","['Kidney', 'Brain', 'Uterus']"
1357,Q02086,SP2,Transcription factor Sp2,"['GO:0005634', 'GO:0000981', 'GO:0001227', 'GO:0042826', 'GO:0046872', 'GO:0000978', 'GO:0006955', 'GO:0035264', 'GO:0000122', 'GO:0006357']","['Bone marrow', 'Lung', 'Lymph', 'Spleen', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
1358,Q02108,GUCY1A1,Guanylate cyclase soluble subunit alpha-1,"['GO:0098982', 'GO:0098978', 'GO:0008074', 'GO:0005525', 'GO:0004383', 'GO:0020037', 'GO:0038023', 'GO:0008015', 'GO:0006182', 'GO:0007263', 'GO:0010750', 'GO:0008217', 'GO:0060087', 'GO:0052565', 'GO:0098925']","['Brain', 'Kidney', 'Brain', 'Placenta', 'Brain']"
1359,Q02218,OGDH,"2-oxoglutarate dehydrogenase, mitochondrial","['GO:0005759', 'GO:0031966', 'GO:0005739', 'GO:0005634', 'GO:0045252', 'GO:0051087', 'GO:0031072', 'GO:0046872', 'GO:0034602', 'GO:0004591', 'GO:0030976', 'GO:0006103', 'GO:0021695', 'GO:0006091', 'GO:0006096', 'GO:0021766', 'GO:0106077', 'GO:0006734', 'GO:0061034', 'GO:0021860', 'GO:0021756', 'GO:0006104', 'GO:0022028', 'GO:0021794', 'GO:0006099']","['Liver', 'Trachea', 'Bone marrow', 'Muscle', 'Mammary cancer', 'Liver']"
1360,Q02241,KIF23,Kinesin-like protein KIF23,"['GO:0097149', 'GO:0005813', 'GO:0005829', 'GO:0090543', 'GO:0005925', 'GO:0045171', 'GO:0005871', 'GO:0005874', 'GO:0030496', 'GO:0072686', 'GO:0005654', 'GO:0005634', 'GO:0005819', 'GO:0005524', 'GO:0016887', 'GO:0008017', 'GO:0003777', 'GO:0000915', 'GO:0019886', 'GO:0007018', 'GO:0000281', 'GO:0000022', 'GO:0051256', 'GO:0072383', 'GO:0032467', 'GO:0006890']","['Trachea', 'Lymph', 'Uterus', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Erythroleukemia']"
1361,Q02446,SP4,Transcription factor Sp4,"['GO:0005829', 'GO:0005654', 'GO:0005634', 'GO:0000981', 'GO:0046872', 'GO:0043565', 'GO:0003713', 'GO:0006357']","['Uterus', 'Brain', 'Erythroleukemia']"
1362,Q02447,SP3,Transcription factor Sp3,"['GO:0005654', 'GO:0005634', 'GO:0016605', 'GO:0032993', 'GO:0017053', 'GO:0003682', 'GO:0000981', 'GO:0001227', 'GO:0046872', 'GO:0000987', 'GO:0000978', 'GO:0000977', 'GO:0030183', 'GO:0060216', 'GO:0048596', 'GO:0001892', 'GO:0060136', 'GO:0048706', 'GO:0043353', 'GO:0030851', 'GO:0001889', 'GO:0030324', 'GO:0030219', 'GO:0030224', 'GO:0001779', 'GO:0045892', 'GO:0001503', 'GO:0045944', 'GO:0045893', 'GO:0006357', 'GO:0006355', 'GO:0030217', 'GO:0001829']","['Trachea', 'Lung', 'T-cell', 'Uterus', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma', 'Erythroleukemia', 'Liver']"
